"Projekt ID";Název;Kategorie;"Souøadnice z. délky";"Souøadnice z. šíøky";Adresa;Web;Cena;Stav;Cíl1;Cíl2;Cíl3;Cíl4;Cíl5;Lokace;Od;Do;"Nositel projektu";Popis
;"ZŠ Otevøená - vıstavba nové základní školy, MÈ Brno-ebìtín";"Vzdìlání, vìda, vızkum a inovace";49.209154;16.488294;"Otevøená 20a, 641 00 Brno-ebìtín";http://www.strukturalni-fondy.cz/cs/Informace-o-cerpani/Mapa-projektu/Projekty/11-ROP-NUTS-II-Jihovychod/11-3-Udrzitelny-rozvoj-mest-a-venkovskych-sidel/Zakladni-skola-Otevrena;128433349;Dokonèeno;"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";"1.1. Získat pozitivní a dynamickı profil mìsta";;;ebìtín;2011/01/04;2012/09/01;"Statutární mìsto Brno";"Projekt se zabıval vybudováním nového školského zaøízení s odpovídajícím technickım i technologickım zázemím pro vıuku dìtí základní školy prvého stupnì vèetnì rozšíøení nabídky mimoškolních aktivit a k nim nutného zázemí jak pro dìti, tak pro mláde a veøejnost mìstské èásti ebìtín se zamìøením na sport a další vzdìlávání. Provoz školy byl dislokován do tøí od sebe docházkovì vzdálenıch objektù vybudovanıch zaèátkem 20. století a ke sportovním i mimoškolním aktivitám byl vyuíván sál spoleèenského domu, jako provizorní tìlocvièna a provizorní prostory pro aktivity zájmovıch kroukù."
;"CERIT Scientific Cloud";"Vzdìlání, vìda, vızkum a inovace";49.2101139;16.5983006;"Botanická 554/68a, 602 00 Brno";https://www.cerit-sc.cz/cs/;137453905;Dokonèeno;"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";"1.1. Získat pozitivní a dynamickı profil mìsta";"2.1. Pøipravit Brno k rozvoji podnikání";;;Brno-Støed;2011/04/29;2013/10/30;"Masarykova univerzita";"Centrum CERIT-SC (CERIT Scientific Cloud) je národním centrem poskytujícím flexibilní úloné a vıpoèetní kapacity a související sluby, vèetnì podpory jejich exprimentálního vyuití. Souèasnì centrum provádí vızkum a vıvoj v oblasti flexibilních e-infrastruktur a  spolupracuje na vızkumnıch aktivitách svıch uivatelù. Centrum CERIT-SC vzniká transformací Superpoèítaèového centra Brno (SCB), které je souèástí Ústavu vıpoèetní techniky (ÚVT) Masarykovy univerzity (MU). Centrum CERIT-SC  poskytuje více ne 4800 jader a cca 4 PB úloného prostoru. Poøizované vıpoèetní a úloné kapacity jsou dostupné prostøednictvím Národní gridové infrastruktury MetaCentrum, cloudová rozhraní a další experimentální rozhraní. Centrum CERIT-SC je vıznamnou souèástí národní e-infrastruktury, sloitého systému vzájemnì propojenıch síovıch, vıpoèetních a úlonıch kapacit a souvisejících slueb pro vızkumnou komunitu ÈR. Centrum CERIT-SC je v této roli explicitnì jmenováno ve vládou schválené Cestovní mapì velkıch infrastruktur vızkumu, vıvoje a inovací, svım zamìøením a nabídkou slueb doplòuje další dvì sloky schválené národní e-infrastruktury – sdruení CESNET a superpoèítaèové centrum IT4Innovations."
;"Diagnostické, vıukové a vızkumné centrum infekèních nemocí zvíøat na VFU Brno: Centrum diagnostiky zoonóz";"Vzdìlání, vìda, vızkum a inovace";49.218135;16.597918;"Palackého 1/3, 612 42 Brno-Královo Pole";http://cit.vfu.cz/zoonoz/;126660365;Dokonèeno;"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";"2.1. Pøipravit Brno k rozvoji podnikání";"1.1. Získat pozitivní a dynamickı profil mìsta";;;"Královo Pole";2011/07/01;2013/09/30;"Veterinární a farmaceutická univerzita Brno";"Cílem projektu bylo prostøednictvím rekonstrukce budovy è. 33 v areálu univerzity vybudovat integrované vıukové centrum zaloené na expertíze pracovníkù VFU v oblasti infekèních nemocí zvíøat, nabízející modernì koncipovanou vıuku problematiky infekèních nemocí pro studenty VFU i dalších škol. Neoddìlitelnou souèástí takto pojatého centra musí bıt, jakoto zdroj materiálu i expertízy, nadstandardní patologická, mikrobiologická, imunologická, parazitologická, epizootologická a genetická diagnostika infekèních a dalších vıznamnıch nemocí zvíøat se zamìøením na spoleèensky, ekonomicky - zemìdìlsky vıznamné nemoci. Stávající dotèené ústavy byly modernizovány tak, aby došlo k vybudování vzorovıch integrovanıch provozù, ve kterıch budou studenti seznamováni s problematikou infekèních nemocí formou pøímé i nepøímé vıuky. V rámci projektu byla provedena rekonstrukce a rozšíøení kapacit pro vıuku a VaV èinnost, co zahrnuje 2 296 m2 zrekonstruované kapacity uitné plochy celkem a 424 m2 novì vybudované kapacity uitné plochy celkem. Dále bylo zajištìno zlepšení materiálnì technického zabezpeèení pro vıuku a VaV èinnost prostøednictvím modernizace vybavení laboratoøí, modernizace vybavení cvièeben pro vıuku, modernizace prostorù technického zázemí a modernizace vybavení prostor sociálního zázemí."
;"Zpøístupnìní brnìnského podzemí";Kultura;49.192876;16.609469;"Zelnı trh 21, 658 78 Brno-Støed";http://www.jihovychod.cz/rack/dotace/0000205;124075012;Dokonèeno;"2.1. Pøipravit Brno k rozvoji podnikání";"1.1. Získat pozitivní a dynamickı profil mìsta";"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";"5.1. Zlepšit kvalitu vnitøní a vnìjší dostupnosti mìsta";;Brno-Støed;2009/04/03;2010/11/30;"Statutární mìsto Brno";"Projekt Zpøístupnìní brnìnského podzemí je jedním z nosnıch tematickıch okruhù rozvoje objektù cestovního ruchu ve mìstì Brnì. Jeho cílem bylo v první fázi sanace historicky cennıch podzemních prostor pod Zelnım trhem a Dominikánskım námìstím a jejich zpøístupnìní veøejnosti. Díky ojedinìlosti rozsahu dosud probádanıch prostor, popularitì podzemních staveb a jejich historické cenì lze oèekávat znaènı zájem veøejnosti a vıznamné multiplikaèní efekty. Prostøednictvím realizace projektu Brno získalo na atraktivitì, která je konkurenceschopná na trhu a posiluje image mìsta jako cílové destinace moderního cestovního ruchu. Mìsto disponuje znaènım kulturnì historickım potenciálem, kterı pro potøeby cestovního ruchu nebyl dosud zcela vyuit. V dalších fázích projektu byly podzemní prostory vybaveny atraktivními expozicemi zábavnì vzdìlávacího charakteru, které vhodnım zpùsobem doplnily estetiènost prostøedí."
;"Natura: vìdecké informaèní zdroje pøírodních vìd";"Vzdìlání, vìda, vızkum a inovace";49.2052944;16.5968269;"Kotláøská 267/2, 611 37 Brno-Støed";http://www.opvavpi.cz/cs/siroka-verejnost/projekty/natura-vedecke-informacni-zdroje-prirodnich-ved.html;117792060;Dokonèeno;"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";"1.1. Získat pozitivní a dynamickı profil mìsta";;;Brno-Støed;2013/01/07;2014/12/31;"Univerzita Palackého v Olomouci";"Projekt se zamìøil na následující základní cíle: a) zpøístupnìní elektronickıch a listinnıch zdrojù prestiních vìdeckıch vydavatelù pro vìdeckovızkumnou èinnost zapojenıch organizací b) monost pokraèování úspìšného vızkumu pøírodovìdnıch oborù a uší zaèlenìní do mezinárodní vìdecké komunity c) zvıšení efektivity vıuky studentù všech forem studia d) zajištìní odpovídajících podmínek pro uívání Knihovny Univerzity Palackého v Olomouci v podobì poøízení nového vybavení a pøístrojù  Díky naplnìní zmínìnıch cílù došlo k dosaení zásadních vısledkù projektu, kterımi jsou: a) zvıšení dostupnosti specializovanıch vìdeckıch informaèních zdrojù pro všechny zapojené subjekty v oborech biologie, ekologie, geografie, geologie, chemie, biochemie, genetiky, fyziky, geofyziky, techniky a medicíny b) zabezpeèení elektronickıch zdrojù zmínìnıch oborù ve støednìdobém èasovém horizontu c) disponibilita moderním elektronickım rozhraním a softwarovımi nástroji pro jednodušší vyhledávání v rámci jednotlivıch zdrojù d) disponibilita moderními nástroji pro vhodnou evaluaci o vyuití informaèních zdrojù e) modernizace hardwarového a knihovnického vybavení KUP Spolupracující instituce: Biologické centrum Akademie vìd ÈR, v.v.i. Fakultní nemocnice u sv. Anny v Brnì Jihoèeská univerzita v Èeskıch Budìjovicích Masarykova univerzita v Brnì Mendelova univerzita v Brnì Univerzita Jana Evangelisty Purkynì v Ústí nad Labem Univerzita Tomáše Bati ve Zlínì Veterinární a farmaceutická univerzita v Brnì Vysoké uèení technické v Brnì Vızkumnı ústav geodetickı, topografickı a kartografickı, v.v.i"
;"Chemické elektronické informaèní zdroje pro VaV";"Vzdìlání, vìda, vızkum a inovace";49.178572;16.568788;"Kamenice 753/5, 625 00 Brno-Bohunice";http://projekty.upce.cz/chemeiz/index.html;115046159;Dokonèeno;"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";"2.1. Pøipravit Brno k rozvoji podnikání";"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";;;Bohunice;2012/12/01;2014/12/31;"Univerzita Pardubice";"Hlavním cílem je zajištìní dlouhodobıch licencí na elektronické informaèní zdroje pro Univerzitu Pardubice a partnerské vysoké školy. Z prostøedkù projektu byly pøedplaceny licence na období 2013 a 2017 do databází SciFinder, Reaxys a Knovel a zakoupeny byly elektronické archivy periodik Americké chemické spoleènosti z let 1879 – 1995 a Královské chemické spoleènosti z let 1841 – 2007."
;"Rekonstrukce a dostavba hotelu Maximus Resort";"Volnı èas";49.243362;16.515841;"Hrázní 327/4a, 635 00? Brno-Knínièky";http://www.risy.cz/cs/vyhledavace/projekty-eu/detail?id=61335;111901971;Dokonèeno;"2.1. Pøipravit Brno k rozvoji podnikání";"1.1. Získat pozitivní a dynamickı profil mìsta";"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";;;Knínièky;2010/12/01;2012/09/22;"Maximus Resort, a.s.";"Primárním cílem rekonstrukce a pøestavby hotelu Maximus Resort bylo zvıšení potenciálu tohoto zaøízení a rozšíøení jeho pùsobnosti na další cílové skupiny zákazníkù. Globálnì jde o zvyšování turistického ruchu v zajímavé lokalitì, o zkvalitnìní nabídky slueb, rozšíøení ubytovací kapacity i celkovıch moností hotelu."
;"Infrastruktura pro vıuku spojenou s vızkumem ve strojních oborech studijního programu Vojenské technologie";"Vzdìlání, vìda, vızkum a inovace";49.207505;16.594934;"Kounicova 156/65, 662 10 Brno-Støed";http://www.unob.cz/vyzkum_vyvoj/Stranky/Infrastruktura-pro-vyuku-spojenou-s-vyzkumem-ve-strojnich-oborech-studijniho-programu-Vojenske-technologie.aspx;146909778;Dokonèeno;"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";"1.1. Získat pozitivní a dynamickı profil mìsta";;;Brno-Støed;201/05/01;2013/12/31;"Univerzita obrany";"Hlavním cílem projektu byla rekonstrukce objektu Fakulty vojenskıch technologií, která je stìejní slokou infrastruktury pro vzdìlávací a vızkumnou èinnost strojních oborù studijního programu Vojenské technologie."
;"Informaèní zdroje pro medicínu a pøíbuzné obory";"Vzdìlání, vìda, vızkum a inovace";49.19857;16.605146;"erotínovo námìstí 617/9, 601 77 Brno-Støed";http://www.isvav.cz/projectDetail.do?rowId=ED3.2.00%2F12.0225;107368000;Dokonèeno;"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";"2.1. Pøipravit Brno k rozvoji podnikání";;;;Brno-Støed;2012/11/01;2014/12/31;"Masarykova Univerzita";"Projekt mìl dva hlavní cíle: 1. Zajistit nákup a zpøístupnìní vybranıch elektronickıch informaèních zdrojù (EIZ) pro vızkum v oblasti medicíny a zdravotnictví pro konsorcium pøedních medicínskıch institucí v ÈR. Projektu se úèastní 8 institucí: Masarykova univerzita, Univerzita Palackého v Olomouci, Ostravská univerzita v Ostravì, Fakultní nemocnice u sv. Anny v Brnì – Mezinárodní centrum klinického vızkumu (FNUSA-ICRC), Západoèeská univerzita v Plzni, Univerzita Pardubice, Univerzita Tomáše Bati ve Zlínì, Univerzita Jana Evangelisty Purkynì v Ústí nad Labem. Kadá ze zúèastnìnıch institucí si zvolila vlastní skladbu informaèních zdrojù podle svıch specifickıch potøeb a finanèních moností. 2. Dovybavit knihovny MU chybìjící odbornou literaturou (knihy, kompendia, archivy, èasopisy) v oblasti medicíny, zdravotnictví a pøírodních vìd a informaèními technologiemi pro špièkovı vızkum na MU, vèetnì informaèní podpory vızkumnıch pracoviš v rámci evropskıch strukturálních fondù."
;"Rekonstrukce objektu VUT v Brnì ""Technická 8""";"Vzdìlání, vìda, vızkum a inovace";49.225758;16.575898;"Technická 2848/8, 616 00 Brno-Královo Pole";http://www.opvavpi.cz/cs/siroka-verejnost/projekty/rekonstrukce-objektu-vut-v-brne-technicka-8.html;113231985;Dokonèeno;"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";"2.1. Pøipravit Brno k rozvoji podnikání";"5.2. Zajistit komplexní hospodaøení s energiemi, s povrchovımi a odpadními vodami";;;"Královo Pole";2013/04/01;2015/06/30;"Vysoké uèení technické v Brnì";"Cílem projektu byla rekonstrukce a modernizace objektu Technická 8, jeho stav ji nevyhovuje podmínkám moderní špièkové vıuky technickıch oborù. Rekonstrukce objektu zahrnuje zejména zmìny technologickıch a energetickıch parametrù budovy se zámìrem modernizovat budovu do úrovnì ostatních objektù fakulty, zefektivnit její provoz zejména z pohledu vıdajù na energie a zvıšit pasivní a aktivní bezpeènost provozu budovy."
;"Rekonstrukce kanalizaèního sbìraèe CO1 v úseku Rooseveltova-Solnièní";"Technická infrastruktura";49.197581;16.608880;"Rooseveltova, Solnièní, Moravské námìstí, Brno-Støed";http://www.jvprojektvh.cz/reference/?id=643&sekce2=29;102310000;Dokonèeno;"5.2. Zajistit komplexní hospodaøení s energiemi, s povrchovımi a odpadními vodami";"3.1. Dosáhnout vyšší atraktivity ivota ve mìstì";;;;Brno-Støed;0000-00-00;2009-04-01;"Statutární mìsto Brno";"Pøedmìtem tohoto projektu byla rekonstrukce kanalizaèního sbìraèe C01 profilu DN 1200/1800 resp. DN 800/1200, která probíhala od stávajícího kanalizaèního sbìraèe C01 v ul. Rooseveltovì a po budovu Nejvyššího správního soudu v ul. Solnièní."
;"Rozvoj infrastruktury pro vıuku a vızkum na FI MU";"Vzdìlání, vìda, vızkum a inovace";49.2099831;16.5989164;"Botanická 554/68a, 602 00 Brno";https://www.isvav.cz/projectDetail.do?rowId=ED4.1.00%2F04.0195;333839009;Dokonèeno;"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";"1.1. Získat pozitivní a dynamickı profil mìsta";;;;"Královo Pole";2011/08/01;2014/11/30;"Fakulta informatiky MU";"Cílem projektu Rozvoj infrastruktury pro vıuku a vızkum na Fakultì informatiky (Fl) Masarykovy univerzity (MU) bylo vybudováni potøebného zázemí FI MU s vazbou na zkvalitnìní vıuky a vızkumnì vıvojovıch a inovaèních aktivit. Projekt Rozvoj infrastruktury pro vıuku a vızkum na FI MU pøispìl ke zlepšení materiálnì technického zabezpeèení za úèelem zvıšení kvality vıuky studentù zejména v doktorskıch studijních programech, ale i v programech navazujícího magisterského studia a kvantitativního i kvalitativního posílení pøípravy lidskıch zdrojù ve vızkumu a vıvoji na FI MU."
;"Centrum senzorickıch, informaèních a komunikaèních systémù (SIX)";"Vzdìlání, vìda, vızkum a inovace";49.2270253;16.5747819;"Technická 12, 616 00 Brno-Královo Pole";http://www.vutbr.cz/veda-a-vyzkum/centra-vyzkumu/six;292239000;Dokonèeno;"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";"1.1. Získat pozitivní a dynamickı profil mìsta";;;;"Královo Pole";2010/07/01;2013/12/31;"Vysoké uèení technické v Brnì";"Centrum senzorickıch, informaèních a komunikaèních systémù (SIX) je spoleènou iniciativou ústavu radioelektroniky, ústavu telekomunikací, ústavu mikroelektroniky a ústavu fyziky Fakulty elektrotechniky a komunikaèních technologií VUT v Brnì.   Centrum SIX se soustøeïuje na vızkum komunikaèních a informaèních systémù a jejich komponentù, provozovanıch v perspektivních kmitoètovıch pásmech. Jedná se zejména o: - vızkum fyzické vrstvy komunikaèních systémù: šíøení, vyzaøování, zesílení, filtrace a smìšování (sub)milimetrovıch vln; - vızkum systémové vrstvy komunikaèních systémù: mobilní systémy, optické systémy, satelitní systémy, a systémy digitální TV; - vızkum konvergovanıch informaèních a komunikaèních technologií; - vızkum snímání, zpracování a reprezentace komunikaèních signálù (akustické signály, obrazové signály, textové informace a jejich multimediální propojení); - vızkum snímání a detekce chemickıch a biologickıch látek, a fyzikálních velièin pøenášenıch komunikaèními kanály."
;"Regionální centrum aplikované molekulární onkologie (RECAMO)";"Vzdìlání, vìda, vızkum a inovace";49.1945306;16.5890942;"lutı kopec 7, 656 53 Staré Brno";http://www.recamo.cz/cz/;354825754;Dokonèeno;"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";"1.1. Získat pozitivní a dynamickı profil mìsta";;;;Brno-Støed;2010/11/29;2014/12/31;"Masarykùv onkologickı ústav";"Projekt RECAMO je propojením vızkumu, klinickıch aplikací a moného komerèního vyuití(napø. vıvoj diagnostickıch souprav). Smyslem projektu je spolupráce mezi pracovníky základního a klinického vızkumu, kteøí shromaïují vzorky tkání primárních nádoru prsu a dalších typù tumorù dostupnıch v Masarykovì onkologickém ústavu, identifikovat klíèové genetické mutace ve vıznamnıch signálních dráhách a vytvoøit tak databázi prognóz, odpovìdí a rezistencí pacientù na léèbu."
;"Nákup nízkopodlaních kloubovıch trolejbusù pro MHD v Brnì";"Hromadná doprava";49.2154369;16.5589925;"Jundrovská 57, Brno-Komín";https://www.brno.cz/brno-aktualne/tiskovy-servis/tiskove-zpravy/brno-chce-posilit-kloubove-trolejbusy/;357076500;Dokonèeno;"5.1. Zlepšit kvalitu vnitøní a vnìjší dostupnosti mìsta";;;;;Komín;2013/06/05;2015/12/31;"Statutární mìsto Brno";"Mìsto Brno projektem posílilo poèet nízkopodlaních kloubovıch trolejbusù a tím nejenom pomoci osobám se sníenou schopností pohybu, matkám s koèárky èi invalidùm zlepšit jejich cestovní komfort, ale také pøispìt ke sníení ekologické zátìe emisemi. Jednalo se o nákup cca 30 ks vozù."
;"Centrum vızkumu a vyuití obnovitelnıch zdrojù energie";"Vzdìlání, vìda, vızkum a inovace";49.2267561;16.5753778;"Technická 3082/12, 616 00 Brno-Královo Pole";http://www.cvvoze.cz/;358245636;Dokonèeno;"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";;;;;"Královo Pole";2010/05/01;2013/12/31;"Vysoké uèení technické v Brnì";"Hlavním cílem Centra vızkumu a vyuití obnovitelnıch zdrojù energie (CVVOZE) je koncentrace vıznamnıch vızkumnıch a vıvojovıch kapacit pro øešení komplexní problematiky vızkumu, vıvoje a vyuití obnovitelnıch zdrojù energie, vèetnì problematiky z oblastí elektrochemie, elektromechaniky, elektrotechnologie, elektroenergetiky, elektrickıch pohonù, mobilních robotù a prùmyslové elektroniky. Svım zamìøením pokrıvá Centrum celé spektrum disciplín v oblasti elektrotechniky ve vazbì na aktuální téma obnovitelnıch zdrojù energie a jejich efektivního vyuívání ve vırobì, dopravì a energetice."
;"Rozšíøení národní informaèní infrastruktury pro VaV v regionech (eIGeR) ";"Vzdìlání, vìda, vızkum a inovace";49.2095517;16.5986256;"Botanická 554/68a, 602 00 Brno-Støed";http://www.risy.cz/cs/vyhledavace/projekty-eu/detail?id=95493;751046698;Dokonèeno;"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";;;;;Brno-Støed;2011/05/01;2013/10/31;"CESNET - ZÁJMOVÉ SDRUENÍ PRÁVNICKİCH OSOB";"Hlavním cílem projektu ""Rozšíøení národní informaèní infrastruktury pro VaV v regionech"" bylo vybudování regionálního základu komplexní národní e-infrastruktury pro VaV v ÈR, která v sobì zahrnuje všechny integrální sloky nezbytné pro poskytování slueb s vysokou pøidanou hodnotou. Jde zejména o:   a) zvıšení kapacity komunikaèní infrastruktury nasazením vıkonnìjších síovıch prvkù;  b) zvıšení kapacity pøístupovıch rozhraní;  c) posílení vıpoèetního vıkonu MetaCentra, vytvoøení základu NGI;  d) vybudování tøí velkokapacitních úloiš umoòujících ukládání a sdílení velkého mnoství dat, vèetnì jejich støednìdobé a dlouhodobé archivace;  e) zvıšení kapacity a posílení infrastruktury pro realizaci videokonferencí; a to tak, aby infrastruktura odpovídala oèekávanım poadavkùm na objem, obsah a charakter datové komunikace v nejbliší budoucnosti se zvláštním zøetelem na novì vznikající vızkumné infrastruktury v regionech a jejich zapojení do Evropského vızkumného prostoru. Tato kvalitativnì nová e-infrastruktura poskytuje sluby minimálnì 60 organizacím ve VaV, èi jejich vızkumnım infrastrukturám, se sídlem v regionech. Jedná se zejména o subjekty, které vyuívaly síové sluby sítì CESNET2 a po ukonèení projektu se staly odbìrateli novıch slueb komplexní e-infrastruktury. Projekt ""Rozšíøení národní informaèní infrastruktury pro VaV v regionech"" svım zamìøením naplòuje hlavní i specifické cíle vızvy 2.3 - Informaèní infrastruktury pro VaV, prioritní osy 3, oblasti podpory 3.2., toti posílení a zintenzivnìní propojení vìtšího mnoství pracoviš vızkumu a vıvoje ÈR, jejich vıpoèetních, úlonıch a informaèních kapacit a také jejich integraci do EVP právì skrze tvorbu, rozvoj a modernizaci informaèních infrastruktur pro VaV."
;"Centrum podpory humanitních vìd - CARLA";"Vzdìlání, vìda, vızkum a inovace";49.2004083;16.5984836;"Arne Nováka 1, 602 00 Brno-Støed";http://www.phil.muni.cz/wff/home/vyveska/carla/view?set_language=en;586566164;Dokonèeno;"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";"1.1. Získat pozitivní a dynamickı profil mìsta";;;;Brno-Støed;2011/10/01;2015/06/30;"Masarykova univerzita";"Hlavním cílem projektu bylo vytvoøit odpovídající infrastrukturu pro další rozvoj základního a aplikovaného vızkumu v oblasti humanitních vìd, zvıšit zapojení studentù do vìdeckovızkumné èinnosti, zlepšit kvalitu vzdìlávání a dosáhnout zvıšení pomìru absolventù magisterského a doktorského stupnì studia pro potøeby spoleèenské praxe.   Cílem projektu bylo: - vytvoøení odborného a databázového zázemí pro vızkumné a projektové tımy pùsobící na Filozofické fakultì MU, - navıšení kapacity vıukovıch prostor, - rozšíøení moností vıuky a vızkumu s vyuitím PC, multimédií, digitalizace dokumentù, - rozšíøení kapacity Ústøední knihovny Filozofické fakulty o nezbytné úloné a skladové plochy pro uloení rukopisnıch materiálù a literárních zdrojù a práci s nimi, - vytvoøení podmínek pro speciální knihovnu Historického ústavu umoòující vızkumnou èinnost pøímo v jejích prostorách.   Obsahem projektu byla také rekonstrukce èásti areálu Filozofické fakulty Masarykovy univerzity a vytvoøení Centra podpory humanitních vìd jako prostorového a technologického zázemí pro rozvoj vìdy a vızkumu. V areálu fakulty na ulici Arne Nováka bude provedena rekonstrukce historickıch budov A a B1 a staticky nevyhovující budova B2 bude nahrazena novostavbou s rozšíøenım pùdorysem suterénù. Stavebnì technické øešení bylo navreno tak, aby došlo ke sníení energetické nároènosti budov a nákladù na provoz. Vzniklo nové pracovištì digitalizace, byl umonìn rozvoj Centra informaèních technologií, byly rozšíøeny plochy pro kniní fondy, zlepšeno materiálnì technické zabezpeèení pøednáškovıch místností, uèeben, pracoven a knihovních prostor."
;"Aplikaèní a vıvojové laboratoøe pokroèilıch mikrotechnologií a nanotechnologií (ALISI)";"Vzdìlání, vìda, vızkum a inovace";49.2218258;16.5835453;"Královopolská 62/147, 612 00 Brno-Královo pole";http://alisi.isibrno.cz/;511532307;Dokonèeno;"4.1. Vytvoøit podmínky pro pøíchod a udrení elit ve mìstì";"1.1. Získat pozitivní a dynamickı profil mìsta";;;;"Královo Pole";2009/11/24;2013/12/31;"Ústav pøístrojové techniky AVÈR, v.v.i.";"Cílem ALISI je vybudovat a provozovat modernì vybavené vızkumné centrum dosahující aplikovatelnıch vısledkù vızkumu a vıvoje a pøiblíit tak technologickou úroveò zdejšího vızkumu a vıvoje v øešenıch oblastech svìtové elitì.   Tematicky jde o vızkumné aktivity zasahující do oblastí diagnostiky a technologií, které vyuívají novıch metod magnetické rezonance, laserovıch mikrotechnologií a nanotechnologií – zejména interferometrie a spektroskopie, mìøení a vyhodnocování biosignálù, elektronové mikroskopie a litografie, svaøování elektronovım a laserovım paprskem, magnetronového naprašování a kryogeniky ke konstrukci unikátních pøístrojù a systémù."
;"Obnova vozového parku dráních vozidel - nákup nízkopodlaních tramvají";"Hromadná doprava";49.1920603;16.5726694;"Hlinky 64/151, 603 00 Brno-Pisárky";http://www.dpmb.cz/?seo=fondy-eu-rop-tramvaje;50000000;Dokonèeno;"5.1. Zlepšit kvalitu vnitøní a vnìjší dostupnosti mìsta";"1.1. Získat pozitivní a dynamickı profil mìsta";;;;Brno-Støed;2008/10/07;2013/12/31;"Dopravní podnik mìsta Brna, a.s.";"Cílem projektu je nákup devíti novıch vysokokapacitních nízkopodlaních tramvaji s cílem dosáhnout zkvalitnìní tramvajové dopravy v Brnì, zvıšit komfort v cestování mìstskou dopravou a rozšíøit dostupnost cestovaní veøejnou dopravou osobám se sníenou schopnosti pohybu. Projektová ádost na poskytnutí dotace z Regionálního operaèního programu NUTS II Jihovıchod byla pøipravována v období dubna a kvìtna roku 2008. V rámci tohoto programu byla vyhlášena vızva na poskytnutí dotací pro obnovu dráních vozidel v MHD.  Pøíprava ádosti nebyla nijak jednoduchá a muselo v ní naplnit mnoho specifickıch poadavkù, kladenıch na projekty poadující dotaci z Evropskıch fondù. Finální ádost se všemi pøílohami, vèetnì dokumentù, které muselo nejdøíve schválit Zastupitelstvo mìsta Brna na svém zasedání, byla na konci èervna odevzdána na Úøad Regionální rady regionu soudrnosti Jihovıchod k posouzení.  Dne 7. øíjna 2008 byl na zasedání Vıboru Regionální rady regionu soudrnosti Jihovıchod projekt schválen k uzavøení Smlouvy o poskytnutí dotace na nákup 9 nízkopodlaních tramvají Škoda 13T. Schválená vıše dotace je 498.399.250,- Kè a pokrıvá 92,5% ceny tramvají. Smlouva byla uzavøena zaèátkem roku 2009.  V kvìtnu a èervnu bylo všech devìt tramvají dodáno do vozovny Medlánky a po provedení všech povinnıch technicko-bezpeènostních zkoušek jsou postupnì nasazovány do bìného provozu.  Realizaèní fáze projektu byla ukonèena v srpnu 2009 zasláním závìreèné monitorovací zprávy na Úøad regionální rady. Tímto však nekonèí projekt kompletnì, nebo do roku 2014 bude muset bıt provoz tramvají vyhodnocován z pohledu dostateèného vyuití vozidel a tím i efektivního vynaloení poskytnutıch dotaèních prostøedkù. Projekt vıraznou mìrou pomohl k obnovì vozového parku tramvají, která samozøejmì bude dále pokraèovat, a to jak formou nákupu novıch tramvají, tak pokraèováním v ekonomicky vıhodnıch a provoznì osvìdèenıch rekonstrukcích a pøestavbách starších vozidel."
